split,participant,sequence_id,status,eligible,reasons,receiving_hand_id,receiving_hand,handover_start_timestamp_ns,handover_end_timestamp_ns,handover_duration_seconds,aggregation_start_timestamp_ns,aggregation_end_timestamp_ns,stable_window_lag_seconds,candidate_rows,valid_samples,valid_ratio,valid_span_seconds,position_p90_deviation_m,orientation_p90_deviation_deg,target_x_m,target_y_m,target_z_m,target_qx,target_qy,target_qz,target_qw
test,Edu,Edu_10_20260616_150412,accepted,True,,1,right,3130712220000,3137078886000,6.366666,3136578886000,3137078886000,0.0,16,14,0.875,0.433333,0.01110876416931273,3.097348072492832,0.23833686113357544,0.8010584115982056,-0.1021144688129425,0.47503480315208435,0.511026918888092,0.5248545408248901,0.48756659030914307
test,Edu,Edu_2_20260604_170420,accepted,True,,1,right,7541112241000,7544012241000,2.9,7542745574000,7543245574000,0.766667,16,16,1.0,0.5,0.02812651993088179,8.641586105480586,0.09324285387992859,0.41366660594940186,0.09602979570627213,-0.4167637526988983,-0.3965376913547516,0.3231176733970642,0.7514391541481018
test,Edu,Edu_3_20260604_170622,accepted,True,,1,right,7666945573000,7670712239000,3.766666,7669445573000,7669945573000,0.766666,16,16,1.0,0.5,0.036501855694890846,11.527494972203428,0.1145714521408081,0.4051474928855896,0.09176097810268402,-0.40534862875938416,-0.39404943585395813,0.34588950872421265,0.7488511204719543
test,Edu,Edu_4_20260604_170837,accepted,True,,1,right,7807378905000,7811678904000,4.299999,7811178904000,7811678904000,0.0,16,13,0.8125,0.4,0.02831849516714909,4.917274532539299,0.3435462713241577,0.6727380752563477,-0.002095838775858283,-0.1852598935365677,0.2504560351371765,0.7680379748344421,0.5595250129699707
test,Edu,Edu_5_20260604_170944,accepted,True,,1,right,7873045570000,7878278903000,5.233333,7877778903000,7878278903000,0.0,16,14,0.875,0.433333,0.011904573607763556,1.7695981387683943,0.32647526264190674,0.6532193422317505,-0.0035057314671576023,-0.1561518907546997,0.19368217885494232,0.8579375743865967,0.44949623942375183
test,Edu,Edu_6_20260616_145740,accepted,True,,1,right,2735345557000,2745678889000,10.333332,2745178889000,2745678889000,0.0,16,12,0.75,0.366667,0.022038812106696448,6.055490239923271,0.4088532030582428,0.5714813470840454,-0.07947476953268051,0.09539051353931427,0.4700506925582886,0.7749192118644714,0.4116469919681549
test,Edu,Edu_7_20260616_145927,accepted,True,,1,right,2842512223000,2846412222000,3.899999,2845912222000,2846412222000,0.0,16,14,0.875,0.433334,0.03164523866805951,4.784481201821785,0.23810647428035736,0.686519980430603,-0.09182855486869812,0.3062674403190613,0.540544867515564,0.53543621301651,0.5721185207366943
test,Edu,Edu_8_20260616_150108,accepted,True,,1,right,2940545555000,2944545555000,4.0,2944045555000,2944545555000,0.0,16,13,0.8125,0.4,0.021915150557754268,3.4769884805490037,0.21692928671836853,0.7295807003974915,-0.09813582897186279,0.2725701630115509,0.5901192426681519,0.555711567401886,0.518314003944397
test,Edu,Edu_9_20260616_150247,accepted,True,,1,right,3043078887000,3046745554000,3.666667,3045245554000,3045745554000,1.0,16,16,1.0,0.5,0.03385250262848793,7.7524480898352195,0.18210956454277039,0.3895348906517029,0.11048521846532822,-0.45306867361068726,-0.32499364018440247,0.3133167326450348,0.7687265276908875
test,Jona,Jona_1_20260616_181413,accepted,True,,1,right,1786278904000,1790478904000,4.2,1789978904000,1790478904000,0.0,16,14,0.875,0.433333,0.01967650126246836,6.977284438022881,0.09415622800588608,0.3001800775527954,0.11872416734695435,-0.442485511302948,-0.17514540255069733,0.43320661783218384,0.76541668176651
test,Jona,Jona_2_20260616_181551,accepted,True,,1,right,1903812235000,1907445568000,3.633333,1906878901000,1907378901000,0.066667,16,12,0.75,0.366667,0.0033058584546994518,1.5002425063366844,0.1328272968530655,0.2389395833015442,0.07519645988941193,-0.4310671091079712,-0.32494062185287476,0.3735140562057495,0.7543752193450928
test,Jona,Jona_3_20260616_181717,accepted,True,,1,right,1994345567000,1997978900000,3.633333,1997312233000,1997812233000,0.166667,16,16,1.0,0.5,0.04716142315830982,8.390077101675283,0.10577608644962311,0.266679584980011,0.07419335097074509,-0.3883759379386902,-0.2319173663854599,0.39133375883102417,0.8013964891433716
test,Jona,Jona_4_20260616_181855,accepted,True,,1,right,2084612233000,2088745566000,4.133333,2088245566000,2088745566000,0.0,16,12,0.75,0.366667,0.004338732373671129,1.5588034176564178,0.10594549030065536,0.2605995833873749,0.0770723819732666,-0.3707178235054016,-0.28834402561187744,0.3992714583873749,0.7874060869216919
test,Jona,Jona_5_20260616_182002,accepted,True,,1,right,2154312232000,2157945565000,3.633333,2157412232000,2157912232000,0.033333,16,12,0.75,0.366667,0.0050406837792154584,1.9616756858462563,0.10979801416397095,0.22397032380104065,0.05184280127286911,-0.3838415741920471,-0.35525134205818176,0.32620736956596375,0.7874330878257751
test,Jona,Jona_6_20260616_182111,accepted,True,,1,right,2216645566000,2220678899000,4.033333,2220178899000,2220678899000,0.0,16,12,0.75,0.366666,0.006195595305321504,3.541467050728943,0.1188182458281517,0.24930772185325623,0.04953474551439285,-0.42621755599975586,-0.34445542097091675,0.3685764968395233,0.7508930563926697
test,Jona,Jona_7_20260616_182214,accepted,True,,1,right,2282112231000,2286012231000,3.9,2285512231000,2286012231000,0.0,16,13,0.8125,0.4,0.0025619353251828095,1.485649524261792,0.10380086302757263,0.30750560760498047,0.05804750323295593,-0.38867345452308655,-0.3328629732131958,0.36731064319610596,0.7766711115837097
test,Mona,Mona_1_20260624_123312,rejected,False,insufficient_valid_samples;low_valid_ratio;insufficient_valid_span,0,left,1101169609000,1108736275000,7.566666,1108236275000,1108736275000,0.0,16,0,0.0,0.0,,,,,,,,,
test,Mona,Mona_3_20260624_123548,accepted,True,,0,left,1263902942000,1268236275000,4.333333,1267736275000,1268236275000,0.0,16,13,0.8125,0.4,0.0011831832665017215,0.5789652715406751,0.15932385623455048,0.3779807686805725,0.11308343708515167,-0.3212861716747284,0.48548009991645813,-0.6713871955871582,0.4586103856563568
test,Mona,Mona_4_20260624_123706,accepted,True,,0,left,1344902942000,1348302942000,3.4,1347536275000,1348036275000,0.266667,16,16,1.0,0.5,0.02891507068137862,4.662394700933165,0.19427794218063354,0.3647618293762207,0.09895606338977814,-0.307210773229599,0.47870397567749023,-0.724193274974823,0.3898821771144867
test,Mona,Mona_5_20260624_123814,accepted,True,,0,left,1417736276000,1420969609000,3.233333,1420469609000,1420969609000,0.0,16,13,0.8125,0.4,0.001956554620308968,0.9031554410820217,0.16136614978313446,0.3460417687892914,0.09522369503974915,-0.318355530500412,0.5243247151374817,-0.6453245878219604,0.4552905559539795
test,Mona,Mona_6_20260624_123930,accepted,True,,0,left,1493602942000,1497102943000,3.500001,1496636276000,1497102943000,0.0,15,13,0.8666666666666667,0.4,0.0056916224479701925,1.5625137264392215,0.1626749187707901,0.3039787709712982,0.07187458872795105,-0.24798491597175598,0.5052309036254883,-0.6919806003570557,0.45211508870124817
test,Mona,Mona_7_20260624_124051,accepted,True,,0,left,1573702942000,1577202943000,3.500001,1576736276000,1577202943000,0.0,15,12,0.8,0.366667,0.0014466019440339652,0.3729964565621046,0.2029174566268921,0.39796727895736694,0.06370369344949722,-0.2920117974281311,0.5108129978179932,-0.689253568649292,0.4227631390094757
test,Mona,Mona_8_20260624_124414,accepted,True,,0,left,1784636275000,1788669609000,4.033334,1788169609000,1788669609000,0.0,16,13,0.8125,0.4,0.0018292375178178965,0.6601098273703991,0.20891650021076202,0.3769457936286926,0.08515582978725433,-0.3362223505973816,0.47467556595802307,-0.6952144503593445,0.42227303981781006
train,Angelina,Angelina_10_20260715_153801,accepted,True,,0,left,2405769609000,2410002943000,4.233334,2409469609000,2409969609000,0.033334,16,13,0.8125,0.4,0.0020827277432061636,1.5205268490968542,-0.27442100644111633,0.3534047305583954,0.12933756411075592,-0.5064614415168762,0.3685058057308197,-0.22728410363197327,0.7456823587417603
train,Angelina,Angelina_1_20260715_152929,accepted,True,,1,right,1907902942000,1911936275000,4.033333,1911436275000,1911936275000,0.0,16,14,0.875,0.433334,0.0036748886969114997,1.3695188517103487,0.18191954493522644,0.2945880889892578,0.08191998302936554,-0.48463791608810425,-0.3618776798248291,0.24143299460411072,0.7588680386543274
train,Angelina,Angelina_2_20260715_153046,accepted,True,,1,right,1982169609000,1986836276000,4.666667,1986336276000,1986836276000,0.0,16,13,0.8125,0.4,0.0020820638388322436,1.1625854545341356,0.2025614082813263,0.29568496346473694,0.06913263350725174,-0.5193738341331482,-0.3937981128692627,0.20119117200374603,0.7312291264533997
train,Angelina,Angelina_3_20260715_153144,accepted,True,,0,left,2037602942000,2042769609000,5.166667,2042269609000,2042769609000,0.0,16,13,0.8125,0.4,0.0027325612336127833,1.2864557706798796,-0.2385524958372116,0.3631455898284912,0.09548986703157425,-0.4648319184780121,0.38258838653564453,-0.271670401096344,0.7508346438407898
train,Angelina,Angelina_4_20260715_153241,accepted,True,,0,left,2087536276000,2092969609000,5.433333,2092469609000,2092969609000,0.0,16,13,0.8125,0.4,0.0024020690715955205,1.300786961126025,-0.2392418384552002,0.3591746389865875,0.11837950348854065,-0.47616639733314514,0.36812883615493774,-0.2773199677467346,0.7488927841186523
train,Angelina,Angelina_6_20260715_153440,accepted,True,,0,left,2209236276000,2216602942000,7.366666,2216102942000,2216602942000,0.0,16,13,0.8125,0.4,0.03448682146024091,7.640999870222745,-0.543971061706543,0.5910796523094177,-0.04176236316561699,0.2732405662536621,-0.5201141238212585,-0.8052187561988831,0.08027193695306778
